"District,C,254","Route,C,254","County,C,254","Postmile,C,254","Descriptn,C,254","Back_pk_h,C,254","Back_pk_m,C,254","Back_AADT,C,254","Ahead_pk_h,C,254","Ahead_pk_m,C,254","Ahead_AADT,C,254","Lat_S_or_W,C,254","Lon_S_or_W,N,19,11","Lat_N_or_E,N,19,11","Lon_N_or_E,N,19,11"
12,1,ORA,20.37,"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",5500,52000,49150,5500,52000,49150,33.62285199,-117.93924490000,33.62303060000,-117.93920250000
12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4250,41000,38600,4250,41000,38600,33.63047603,-117.95647920000,33.63059007000,-117.95640880000
12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST STREET",4300,41500,39100,4350,42000,39100,33.63522288,-117.96418240000,33.63533242000,-117.96409160000
12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4200,40500,38050,4200,40500,38050,33.64842751,-117.98819150000,33.64865740000,-117.98821700000
12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST STREET",4100,39500,37100,4100,40000,37100,33.6682249,-118.01742490000,33.66830943000,-118.01734060000
12,1,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",4950,47500,44350,4900,47500,44350,33.71161215,-118.06314510000,33.71162544000,-118.06297840000
12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4450,49000,45950,4450,49500,45950,33.74079042,-118.09555170000,33.74088178000,-118.09545400000
12,1,ORA,33.719,LOS ANGELES/ORANGE COUNTY LINE,4100,46000,42500,,,,33.7509424,-118.10603390000,33.75100219000,-118.10591220000
7,1,LA,0,LOS ANGELES/ORANGE COUNTY LINE,,,,4100,46000,42500,33.7509424,-118.10603390000,33.75100219000,-118.10591220000
7,1,LA,1.86,"LONG BEACH, BELLFLOWER BOULEVARD",3350,37000,34500,2550,28000,26000,33.77390305,-118.12092730000,33.77418404000,-118.12104930000
7,1,LA,1.973,"LONG BEACH, JCT. RTE. 22",2550,28000,26000,3400,36500,34000,33.77516071,-118.12265410000,33.77533451000,-118.12261920000
7,1,LA,2.751,"LONG BEACH, ANAHEIM STREET",3400,36500,34000,2800,30000,28000,33.78251724,-118.13257530000,33.78267920000,-118.13253590000
7,1,LA,5.011,"LONG BEACH, CHERRY AVENUE",3600,38000,36500,3650,38500,37000,33.78979852,-118.16764580000,33.78991081000,-118.16756490000
7,1,LA,6.26,"LONG BEACH, LONG BEACH BOULEVARD",3200,34000,32500,3350,36000,34500,33.78980256,-118.18918960000,33.78991505000,-118.18925840000
7,1,LA,7.288,"LONG BEACH, JCT. RTE. 710",4550,49500,40500,4350,47500,39000,33.78992299,-118.20730860000,33.79001133000,-118.20731180000
7,1,LA,8.266,"LONG BEACH, JCT. RTE. 103",3800,41500,34000,3550,39000,32000,33.78982197,-118.22455100000,33.78989535000,-118.22456200000
7,1,LA,9.253,"LOS ANGELES, ALAMEDA STREET",3550,39000,32000,3550,40000,32500,33.79118934,-118.24080280000,33.79129264000,-118.24076500000
7,1,LA,10.532,"LOS ANGELES, AVALON BOULEVARD",3550,40000,33000,4350,50000,41000,33.7910989,-118.26327270000,33.79120831000,-118.26328470000
7,1,LA,11.61,"LOS ANGELES, JCT. RTE. 110",4400,51000,41500,4400,59000,56000,33.79047806,-118.28195710000,33.79062409000,-118.28198200000
7,1,LA,12.171,"LOS ANGELES, VERMONT AVENUE",4400,59000,56000,4200,56000,53000,33.79094273,-118.29169460000,33.79105699000,-118.29166300000
7,1,LA,12.523,"LOS ANGELES, NORMANDIE AVENUE",4200,56000,53000,3950,51000,48500,33.78983666,-118.29760020000,33.78996346000,-118.29759900000
7,1,LA,13.1,"LOS ANGELES, JCT. RTE. 213",4000,51000,49000,5100,64000,61000,33.78941046,-118.30755550000,33.78953083000,-118.30754530000
7,1,LA,14.634,"TORRANCE, CRENSHAW BOULEVARD",4900,61000,58000,3850,46000,43500,33.7920421,-118.33325650000,33.79209918000,-118.33309510000
7,1,LA,16.005,"TORRANCE, JCT. RTE. 107",3350,41000,39000,3800,43500,42500,33.80496457,-118.35109540000,33.80508444000,-118.35106120000
7,1,LA,18.09,"TORRANCE, PALOS VERDES BOULEVARD",2850,33000,32000,2550,30500,29500,33.81851462,-118.38343430000,33.81860164000,-118.38336680000
7,1,LA,19.524,"REDONDO BEACH, TORRANCE BOULEVARD",3350,40500,39000,3350,40500,39500,33.83835824,-118.38543540000,33.83835824000,-118.38543540000
7,1,LA,21.181,"HERMOSA BEACH, AVIATION BOULEVARD",5300,64000,62000,4150,54000,50000,33.862467,-118.39242900000,33.86251697000,-118.39230290000
7,1,LA,21.341,"HERMOSA BEACH, PIER AVENUE/14TH STREET",4150,54000,50000,3700,48500,45500,33.86477508,-118.39311430000,33.86483457000,-118.39296910000
7,1,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",3850,50000,47000,3800,49500,46000,33.87283193,-118.39564600000,33.87282503000,-118.39546720000
7,1,LA,22.9,"MANHATTAN BEACH, MANHATTAN BEACH BOULEVARD",4000,52000,48500,4800,61000,57000,33.8873648,-118.39608740000,33.88735854000,-118.39592680000
7,1,LA,23.924,"EL SEGUNDO, ROSECRANS AVENUE",5400,68000,64000,5500,69000,65000,33.90184946,-118.39629800000,33.90185660000,-118.39609330000
7,1,LA,24.911,"EL SEGUNDO, EL SEGUNDO BOULEVARD",4800,64000,61000,4400,58000,56000,33.9163622,-118.39609560000,33.91615851000,-118.39586680000
7,1,LA,25.924,"LOS ANGELES, JCT. RTE. 105",4950,65000,62000,8900,115000,110000,33.93105528,-118.39622630000,33.93099250000,-118.39602400000
7,1,LA,26.904,"LOS ANGELES, LA INT'NL AIRPORT, CENTURY BLVD",8900,115000,110000,6700,86000,83000,33.94462566,-118.39628530000,33.94463534000,-118.39611160000
7,1,LA,27.363,"LOS ANGELES, LA INT'NL AIRPORT, VIA LINCOLN BLVD",6700,86000,83000,3250,38500,37000,33.95172749,-118.39646610000,33.95179355000,-118.39626290000
7,1,LA,29.084,"LOS ANGELES, MANCHESTER AVENUE",3750,44000,42000,5200,59000,57000,33.95977014,-118.41937130000,33.95978378000,-118.41919240000
7,1,LA,30.163,"LOS ANGELES, JEFFERSON BOULEVARD",5200,59000,57000,5100,60000,58000,33.97204236,-118.43040000000,33.97212567000,-118.43019460000
7,1,LA,30.474,"LOS ANGELES, CULVER BOULEVARD",5100,60000,58000,5200,62000,60000,33.97594836,-118.43305750000,33.97601118000,-118.43298140000
7,1,LA,31.29,"LOS ANGELES, JCT. RTE. 90",4500,55000,52000,5400,68000,65000,33.98469087,-118.44284960000,33.98471198000,-118.44265600000
7,1,LA,31.78,"LOS ANGELES, WASHINGTON BLVD",5500,70000,68000,4100,52000,47500,33.99039317,-118.44790290000,33.99046456000,-118.44776250000
7,1,LA,32.166,"LOS ANGELES, JCT. RTE. 187",4100,52000,47500,3500,45000,41500,33.99399294,-118.45277790000,33.99410523000,-118.45271960000
7,1,LA,R34.576,"SANTA MONICA, JCT. RTE. 10",3400,46500,43000,5700,65000,62000,34.01473886,-118.48588270000,34.01491793000,-118.48589710000
7,1,LA,35.184,"SANTA MONICA, OCEAN AVENUE",5700,65000,62000,6700,75000,73000,34.01137801,-118.49485750000,34.01143237000,-118.49488180000
7,1,LA,36.11,"SANTA MONICA, CALIFORNIA AVENUE",6700,75000,73000,7500,84000,79000,34.02015498,-118.50667130000,34.02023875000,-118.50658880000
7,1,LA,37.045,"LOS ANGELES, CHAUTAUQUA BOULEVARD",7500,84000,79000,7600,85000,80000,34.02817425,-118.51948310000,34.02826229000,-118.51938120000
7,1,LA,39.326,"LOS ANGELES, SUNSET BOULEVARD",5900,68000,63000,5600,65000,60000,34.03845118,-118.55572850000,34.03857223000,-118.55568560000
7,1,LA,40.769,JCT. RTE. 27,4900,57000,53000,4700,53000,49000,34.04006387,-118.57928250000,34.04014484000,-118.57928490000
7,1,LA,44.121,"MALIBU, LAS FLORES CANYON ROAD",3900,44500,40500,3950,45000,41000,34.03691647,-118.63599450000,34.03691647000,-118.63599450000
7,1,LA,47.091,"MALIBU, CROSS CREEK ROAD",4100,46000,41500,5400,47500,43000,34.03434208,-118.68516400000,34.03442374000,-118.68537370000
7,1,LA,47.75,"MALIBU, CIVIC CENTER WAY",5400,47500,43000,4600,40500,36500,34.03516232,-118.69687950000,34.03525875000,-118.69689020000
7,1,LA,48.171,"MALIBU, MALIBU CANYON ROAD",4600,40500,36500,3750,32500,29500,34.03466092,-118.70335740000,34.03478941000,-118.70336930000
7,1,LA,54.02,"MALIBU, KANAN DUME ROAD",3550,31000,28000,3750,32500,29500,34.02146226,-118.80260020000,34.02154600000,-118.80257140000
7,1,LA,56.843,"MALIBU, TRANCAS CANYON RD/BROAD BEACH RD",2450,24200,21300,1900,18900,16700,34.03097936,-118.84352680000,34.03107750000,-118.84346180000
7,1,LA,57.391,"MALIBU, LUNITA ROAD",1900,18900,16700,1900,18900,16700,34.03493357,-118.85136120000,34.03501917000,-118.85133290000
7,1,LA,59.401,"MALIBU, ENCINAL CANYON ROAD",1700,16700,14800,1400,13800,12300,34.04030556,-118.88530090000,34.04040048000,-118.88523100000
7,1,LA,59.901,"MALIBU, JCT. RTE. 23",1400,13800,12300,1350,13100,11700,34.04142092,-118.89442730000,34.04149933000,-118.89423520000
7,1,LA,62.301,MULHOLLAND HIGHWAY,1300,12500,11200,1550,15000,13400,34.04508094,-118.93494520000,34.04519242000,-118.93497090000
7,1,LA,62.867,LOS ANGELES/VENTURA COUNTY LINE,1550,15000,13400,,,,34.04654402,-118.94463880000,34.04665327000,-118.94462530000
7,1,VEN,0,LOS ANGELES/VENTURA COUNTY LINE,,,,1550,15000,13400,34.04654402,-118.94463880000,34.04665327000,-118.94462530000
7,1,VEN,9.866,CALLEGUAS CREEK,1100,10700,9900,1100,10700,9900,34.11234002,-119.08192260000,34.11245284000,-119.08173450000
7,1,VEN,10.229,LAS POSAS ROAD,1100,10700,9900,1000,10000,9300,34.11677275,-119.08546670000,34.11687395000,-119.08526570000
7,1,VEN,11.594,WOOD ROAD,1000,10000,9300,1300,12800,12000,34.13327953,-119.09865530000,34.13337558000,-119.09845260000
7,1,VEN,12.785,HUENEME ROAD,1300,12800,12000,1350,13400,12600,34.14679766,-119.11159890000,34.14679333000,-119.11134920000
7,1,VEN,13.59,NAUMAN ROAD,1350,13400,12600,1400,13500,12800,34.15369698,-119.12257000000,34.15392186000,-119.12256220000
7,1,VEN,R15.053,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",1400,13500,12800,2050,20000,19000,34.1661678,-119.14254410000,34.16628197000,-119.14230460000
7,1,VEN,15.061,"OXNARD, PLEASANT VALLEY RD(VIA OXNARD BLVD)",2050,20000,19000,3100,33000,30500,34.16682505,-119.14272210000,34.16689029000,-119.14243470000
7,1,VEN,21.075,"OXNARD, JCT. RTE. 101",3100,33000,30500,720,6500,4400,34.23985255,-119.18106620000,34.23973861000,-119.18083820000
7,1,VEN,27.675,"SEACLIFF COLONY, JCT. RTE. 101",720,6500,4400,130,950,610,34.3432107,-119.41673790000,34.34325652000,-119.41668350000
7,1,VEN,28.48,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",130,950,610,,,,34.35097413,-119.42610020000,34.35098246000,-119.42608470000
5,1,SB,R0,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",,,,870,8200,7700,34.35097413,-119.42610020000,34.35098246000,-119.42608470000
5,1,SB,15.01,JALAMA ROAD,910,8700,8100,940,8900,8300,34.58939026,-120.40842880000,34.58941414000,-120.40831420000
5,1,SB,19.251,"LOMPOC, SOUTH JCT. RTE. 246",960,9300,8500,1100,11700,11000,34.64124669,-120.43593840000,34.64124669000,-120.43593840000
5,1,SB,20.565,"LOMPOC, NORTH JCT. RTE. 246",1400,14400,13500,1000,12000,11600,34.63891244,-120.45797100000,34.63901475000,-120.45782590000
5,1,SB,22.519,"LOMPOC, SANTA YNEZ RIVER BRIDGE",2600,29000,28000,2800,29000,28000,34.66730179,-120.45772500000,34.66730774000,-120.45757360000
5,1,SB,R23.296,LOMPOC/CASMALIA ROAD,2800,29500,28200,2000,21000,20100,34.67833654,-120.45601480000,34.67836768000,-120.45585640000
5,1,SB,R26.69,PINE CANYON ROAD,1600,16000,15300,1700,16400,15700,34.71313544,-120.48916540000,34.71320163000,-120.48901800000
5,1,SB,M29.891,VANDENBERG AIR FORCE BASE,1900,16100,15700,1600,16000,15500,34.75082254,-120.52057530000,34.75086461000,-120.52040470000
5,1,SB,R31.042,"JCT. RTE. 135, VANDENBURG, NORTH",1800,15800,14900,2200,19800,17800,34.80135494,-120.44317390000,34.80146930000,-120.44297930000
5,1,SB,R34.777,"ORCUTT, JCT. RTE. 135 NORTH",2900,23000,20200,500,3900,3450,34.85381926,-120.45354480000,34.85403661000,-120.45245450000
5,1,SB,R35.53,CLARK AVENUE,380,3000,2650,460,3600,3200,34.863978,-120.45697290000,34.86397800000,-120.45697290000
5,1,SB,41.81,CASMALIA ROAD,600,4800,4250,450,3300,2800,34.88137305,-120.49742970000,34.88137305000,-120.49742970000
5,1,SB,49.199,"GUADALUPE, JCT. RTE. 166 EAST",390,3000,2600,850,6800,6200,34.95756399,-120.57401430000,34.95756399000,-120.57401430000
5,1,SB,50.408,GUADALUPE NORTH CITY LIMITS,810,6500,5900,690,5500,4950,34.97448751,-120.57105840000,34.97448751000,-120.57105840000
5,1,SB,50.606,SANTA BARBARA/SAN LUIS OBISPO COUNTY LINE,690,5500,4950,,,,34.97751647,-120.57085420000,34.97751647000,-120.57085420000
5,1,SLO,0,SANTA BARBARA/SAN LUIS OBISPO COUNTY LINE,,,,420,5100,4100,34.97751647,-120.57085420000,34.97751647000,-120.57085420000
5,1,SLO,1.291,OSO FLACO UNDERPASS,420,5100,4100,550,6600,5350,34.9961874,-120.57053330000,34.99618740000,-120.57053330000
5,1,SLO,6.35,"ENTRANCE, UNION OIL COKING PLANT",780,9300,7500,780,9300,7500,35.04725114,-120.59033840000,35.04725114000,-120.59033840000
5,1,SLO,10.29,ARROYO GRANDE ROAD,330,4000,3200,500,6000,4850,35.09703223,-120.58150110000,35.09703223000,-120.58150110000
5,1,SLO,10.9,HALCYON ROAD,500,6000,4850,980,11700,9450,35.09813586,-120.59111270000,35.09820289000,-120.59098180000
5,1,SLO,13,"ENTRANCE, PISMO BEACH STATE PARK",730,8700,7050,970,11600,9350,35.10709659,-120.62328860000,35.10709659000,-120.62328860000
5,1,SLO,14.1,"GROVER CITY, GRAND AVENUE",1000,12100,9800,1200,14300,11600,35.1219871,-120.62979700000,35.12198710000,-120.62979700000
5,1,SLO,15.268,"PISMO BEACH, VILLA CREEK",1100,13300,10800,1100,12400,10800,35.13707033,-120.63804070000,35.13708624000,-120.63804240000
5,1,SLO,L16.543,"PISMO BEACH, SOUTH JCT. RTE. 101",780,9100,7950,1100,12200,10700,35.150938,-120.65458860000,35.15093800000,-120.65458860000
5,1,SLO,16.77,"SAN LUIS OBISPO, NORTH JCT. RTE. 101",780,8400,7750,2800,32000,30100,35.28660771,-120.66356270000,35.28669031000,-120.66353530000
5,1,SLO,17.341,"SAN LUIS OBISPO, FOOTHILL BOULEVARD",3400,35500,33500,3500,37000,34900,35.29406481,-120.66805770000,35.29407736000,-120.66785510000
5,1,SLO,17.874,HIGHLAND DRIVE,2900,30500,29000,2700,28500,26700,35.29920472,-120.67475900000,35.29923729000,-120.67459670000
5,1,SLO,19.71,"ENTRANCE, CALIFORNIA MEN'S COLONY",2600,27000,25600,2400,25500,24000,35.31916093,-120.69602790000,35.31922166000,-120.69593800000
5,1,SLO,20.89,"ENTRANCE, CAMP SAN LUIS OBISPO",2100,21800,20600,2100,22500,21200,35.32100995,-120.71657000000,35.32109720000,-120.71654630000
5,1,SLO,22.653,"ENTRANCE, CUESTA COLLEGE",1700,17900,16900,1600,16400,15500,35.33315807,-120.74266800000,35.33328794000,-120.74262550000
5,1,SLO,27.883,BAYWOOD PARK ROAD,1300,13900,13100,2400,26000,24300,35.36412976,-120.82315590000,35.36429413000,-120.82336710000
5,1,SLO,28.82,"MORRO BAY, SOUTH MORRO BAY",2400,27500,24300,2100,23900,21300,35.36717904,-120.83950790000,35.36728051000,-120.83937440000
5,1,SLO,29.618,"MORRO BAY, NORTH MORRO BAY",2100,23900,21300,2500,28000,25000,35.37342291,-120.85140310000,35.37359560000,-120.85141640000
5,1,SLO,30.135,JCT. RTE. 41 NORTHEAST,2500,28000,25000,2200,24200,20500,35.37983013,-120.85555480000,35.37998180000,-120.85543990000
5,1,SLO,31.13,"MORRO BAY, SAN JACINTO STREET",2500,25500,20500,1900,20100,16300,35.39372887,-120.86060410000,35.39375048000,-120.86043760000
5,1,SLO,31.97,"ATASCADERO BEACH, YERBA BUENA STREET",2100,21300,17300,1900,19900,16100,35.40423352,-120.86786490000,35.40430538000,-120.86773710000
5,1,SLO,R34.905,OLD CREEK ROAD,1600,16200,13100,1100,11200,9100,35.44219161,-120.89048160000,35.44224683000,-120.89037980000
5,1,SLO,R35.959,C STREET,1100,11200,9100,950,9800,7950,35.45303107,-120.90317550000,35.45315351000,-120.90309060000
5,1,SLO,45.99,JCT. RTE. 46,1100,10700,8300,1500,14200,10300,35.52717064,-121.04479000000,35.52717064000,-121.04479000000
5,1,SLO,46.85,CAMBRIA AIR FORCE BASE ROAD,1500,14200,10300,1100,10200,7350,35.53748921,-121.05384790000,35.53748140000,-121.05383840000
5,1,SLO,48.26,ARDATH DRIVE/MAIN STREET,1200,11300,8200,1100,10900,7350,35.55132996,-121.07159360000,35.55132996000,-121.07159360000
5,1,SLO,54.804,PICO CREEK,600,5700,3850,600,5700,3850,35.61546377,-121.14698050000,35.61546377000,-121.14698050000
5,1,SLO,56.39,HEARST CASTLE STATE PARK,680,6400,4350,490,4700,3150,35.63402152,-121.16371690000,35.63402152000,-121.16371690000
5,1,SLO,58.9,"SAN SIMEON, NORTH",490,4700,3150,420,4000,2700,35.65100227,-121.20271450000,35.65100227000,-121.20271450000
5,1,SLO,71.341,SAN CARPOJO CREEK,420,4000,2700,420,4000,2700,35.76435472,-121.31935750000,35.76435472000,-121.31935750000
5,1,SLO,74.324,SAN LUIS OBISPO/MONTEREY COUNTY LINE,220,2100,1400,,,,35.7951754,-121.34523980000,35.79517353000,-121.34523900000
5,1,MON,0,SAN LUIS OBISPO/MONTEREY COUNTY LINE,,,,400,3200,2400,35.7951754,-121.34523980000,35.79517353000,-121.34523900000
5,1,MON,35.346,ANDERSON CANYON BRIDGE,400,3700,2400,490,4500,2900,36.15342299,-121.66570690000,36.15342299000,-121.66570690000
5,1,MON,46.595,BIG SUR RIVER BRIDGE,760,6500,4500,760,6500,4500,36.25000764,-121.78615730000,36.25000764000,-121.78615730000
5,1,MON,62.972,"BIG SUR, GARRAPATA CREEK BRIDGE",580,6500,5100,630,5800,5100,36.41675818,-121.91397710000,36.41675818000,-121.91397710000
5,1,MON,68.335,"CARMEL HIGHLANDS, YANKEE POINT DRIVE NORTH",630,5800,5100,920,10400,8400,36.48805232,-121.93773390000,36.48805232000,-121.93773390000
5,1,MON,71.179,SAN JOSE CREEK BRIDGE,1550,15300,14800,1550,15300,14800,36.52315409,-121.92627280000,36.52315409000,-121.92627280000
5,1,MON,72.614,RIO ROAD,1600,15300,14800,1350,15300,14800,36.53942602,-121.91021290000,36.53942602000,-121.91021290000
5,1,MON,72.921,"CARMEL VALLEY ROAD, CARMEL, SOUTH",1350,15300,14800,3150,35500,34800,36.54342936,-121.90838500000,36.54342936000,-121.90838500000
5,1,MON,73.8,"CARMEL, OCEAN AVENUE",3150,35500,34800,3100,47000,43000,36.55599951,-121.91115570000,36.55599951000,-121.91115570000
5,1,MON,75.135,"JCT. RTE. 68, CARMEL- PACIFIC GROVE",3300,50000,46100,4300,56000,52500,36.57481502,-121.91242390000,36.57462882000,-121.91225170000
5,1,MON,R75.733,MONTEREY SOUTH CITY LIMITS,4300,55000,52500,4300,55000,52500,36.58037102,-121.90406160000,36.58012190000,-121.90407790000
5,1,MON,R75.754,"MONTEREY, MUNRAS AVENUE",4300,55000,52500,4100,52000,50400,36.58055305,-121.90378620000,36.58030397000,-121.90378260000
5,1,MON,R77.379,"MONTEREY, AGUAJITO ROAD",4000,52000,50400,5900,82000,79000,36.5914446,-121.88065790000,36.59126543000,-121.88044390000
5,1,MON,R78.119,"MONTEREY, JCT. RTE. 68 EAST",5900,82000,79000,5300,67000,59600,36.59519449,-121.86857510000,36.59506388000,-121.86836160000
5,1,MON,R78.883,"MONTEREY, DEL MONTE AVENUE",5300,66000,59000,7000,77000,74000,36.60423805,-121.86127030000,36.60426215000,-121.86099960000
5,1,MON,R79.357,"SEASIDE, JCT. RTE. 218",7000,76000,74000,6500,77000,74000,36.61033275,-121.85790690000,36.61010637000,-121.85779480000
5,1,MON,R80.679,ORD VILLAGE,6500,77000,74000,8500,92000,87000,36.62419233,-121.84208670000,36.62400372000,-121.84200310000
5,1,MON,R82.89,"FORT ORD, MAIN ENTRANCE",8500,92000,87000,8600,94000,86000,36.64747952,-121.81563690000,36.64755938000,-121.81524110000
5,1,MON,R84.484,"FORT ORD, NORTH ENTRANCE (12TH STREET)",8600,94000,86000,7300,78000,70000,36.66954638,-121.81314920000,36.66942269000,-121.81286700000
5,1,MON,R85.135,SOUTH MARINA,7300,78000,70000,5300,51000,47000,36.67778385,-121.80788300000,36.67781224000,-121.80744590000
5,1,MON,R86.481,RESERVATION ROAD,5300,51000,47000,5300,50000,45000,36.69668399,-121.80515560000,36.69655272000,-121.80472830000
5,1,MON,R88.638,NEPONSET ROAD (DEL MONTE BOULEVARD),5300,50000,45000,4400,54000,49500,36.72545552,-121.78965690000,36.72507838000,-121.78946610000
5,1,MON,R89.185,"SALINAS RIVER BRIDGE, CASTROVILLE, SOUTH",5300,56000,49500,5300,52000,49500,36.7315355,-121.78357630000,36.73131692000,-121.78323190000
5,1,MON,R90.388,MOLERA/NASHUA ROADS,5300,52000,49500,5100,59000,50000,36.74591502,-121.77150820000,36.74566429000,-121.77119200000
5,1,MON,R90.979,"CASTROVILLE, JCT. RTE. 156 WEST",5100,59000,50000,3600,22600,19500,36.75320105,-121.76640270000,36.75303793000,-121.76562930000
5,1,MON,T92.213,"CASTROVILLE, JCT. RTE. 183",3600,22600,19500,3850,39500,33900,36.77081852,-121.76541790000,36.77081852000,-121.76541790000
5,1,MON,94.4,MOLERA ROAD,3850,39500,33900,3850,39500,33900,36.78040147,-121.77776200000,36.78040147000,-121.77776200000
5,1,MON,96.101,"MOSS LANDING, DOLAN ROAD",3850,39500,33900,4450,47000,40500,36.80409572,-121.78378420000,36.80409572000,-121.78378420000
5,1,MON,99.92,JENSEN ROAD,4450,47000,40500,4000,44000,38000,36.85381689,-121.77108140000,36.85381689000,-121.77108140000
5,1,MON,T101.04,SALINAS/PAJARO ROAD,4000,44000,38000,3650,44000,38500,36.86987433,-121.77023570000,36.86989986000,-121.76999830000
5,1,MON,R102.031,MONTEREY/SANTA CRUZ COUNTY LINE,3650,45500,38500,,,,36.88380205,-121.77252070000,36.88384473000,-121.77226180000
5,1,SCR,R0,MONTEREY/SANTA CRUZ COUNTY LINE,,,,3600,46000,39000,36.88380205,-121.77252070000,36.88384473000,-121.77226180000
5,1,SCR,R.716,JCT. RTE. 129,3750,41500,37000,3700,45000,40000,36.89428552,-121.77432890000,36.89435238000,-121.77408110000
5,1,SCR,R2.269,"WATSONVILLE, HARKINS SLOUGH ROAD OC",3700,45000,40000,2900,35000,31000,36.91435776,-121.78699940000,36.91444844000,-121.78678080000
5,1,SCR,R2.683,JCT. RTE. 152,2900,35000,31000,5000,56000,53000,36.91972683,-121.79046270000,36.91966888000,-121.79014570000
5,1,SCR,R3.181,"WATSONVILLE, AIRPORT BOULEVARD/ROACHE RD",5000,56000,53000,5800,69000,61000,36.92446652,-121.79701090000,36.92464886000,-121.79691430000
5,1,SCR,R4.073,BUENA VISTA DRIVE (SPRING VALLEY ROAD),5800,69000,61000,5700,68000,60000,36.93135503,-121.81056090000,36.93155602000,-121.81035610000
5,1,SCR,R6.688,MAR MONTE AVENUE (LA SELVA BEACH ROAD),5700,68000,60000,5700,67000,60000,36.94951212,-121.85119640000,36.94982738000,-121.85098810000
5,1,SCR,R7.663,LARKIN VALLEY ROAD,5700,67000,60000,6100,75000,68000,36.96033006,-121.86246280000,36.96059815000,-121.86228800000
5,1,SCR,8.355,FREEDOM BOULEVARD,6100,77000,68000,7000,82000,78000,36.97028634,-121.87325980000,36.97042131000,-121.87305960000
5,1,SCR,9.153,RIO DEL MAR N/O FREEDOM BOULEVARD,7000,82000,78000,7200,86000,82000,36.97498201,-121.88641550000,36.97510083000,-121.88622880000
5,1,SCR,10.535,STATE PARK DRIVE,7200,86000,82000,7000,90000,84000,36.97792152,-121.91043990000,36.97806811000,-121.91033920000
5,1,SCR,12.088,"CAPITOLA, PARK AVENUE",6900,88000,84000,5900,91000,88000,36.98390711,-121.93663860000,36.98406353000,-121.93660390000
5,1,SCR,13.192,"CAPITOLA, BAY AVENUE",5900,91000,88000,6400,100000,97000,36.98340478,-121.95469480000,36.98349491000,-121.95469360000
5,1,SCR,13.62,"CAPITOLA, 41ST AVENUE",6400,100000,97000,5900,90000,88000,36.98268652,-121.96440490000,36.98285239000,-121.96439510000
5,1,SCR,14.864,SOQUEL AVENUE,5900,90000,88000,6300,97000,94000,36.98704252,-121.98631490000,36.98714962000,-121.98622230000
5,1,SCR,15.822,"SANTA CRUZ, MORRISSEY BOULEVARD",6300,97000,94000,5900,88000,85000,36.98821743,-122.00341740000,36.98837408000,-122.00333030000
